internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
13013,Megupsilon aporus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Megupsilon,aporus,,,,,"Miller &amp; Walters, 1972",
14556,Neoplanorbis tantillus,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Neoplanorbis,tantillus,,,,,"Pilsbry, 1906",
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,aulidion,,,,,"Chernoff &amp; Miller, 1986",
14894,Notropis saladonis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,saladonis,,,,,"Hubbs &amp; Hubbs, 1958",
17689,Pleurobema perovatum,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Pleurobema,perovatum,,,,,"Conrad, 1834",
177724,Stagnicola pilsbryi,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Stagnicola,pilsbryi,,,,,"Hemphill, 1890","Jackiewicz (1998) states that there are several problems concerning the  nomenclature of the family Lymnaeidae, and that there is probably no  other snail group in such taxonomical disarray. <em>Stagnicola</em> has been used as a synonym for <em>Lymnaea</em> by various authors, and as a subgenus of <em>Lymnaea</em> by others (Ponder and Waterhouse 1997, Vinarski 2003, NatureServe 2009). Hovingh (1993) lists this species as <em>Lymnaea (Stagnicola) pilsbryi</em>, whereas NatureServe (2009) name it <em>Stagnicola pilsbryi</em>. Dillon (2009) suggests that <em>Lymnaea pilsbryi</em> is a synonym of <em>Lymnaea humilis,</em> but this is neither supported or denied in other literature. <em>Stagnicola</em>&#160;is used by Turgeon <em>et al.</em> (1998) in the most recent list. However, Hubendick (1951) used<em> Lymnaea</em>. For the purpose of this assessment, we follow the taxonomy used by NatureServe."
18338,Prolagus sardus,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,PROLAGIDAE,Prolagus,sardus,,,,,"(Wagner, 1832)",
191116,Atherinella callida,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,callida,,,,,"Chernoff, 1986",
195373,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,,P.A. Duvign. &amp; Dewit,
195376,Basananthe cupricola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PASSIFLORACEAE,Basananthe,cupricola,,,,,Robyns ex G.A. Levin,
196286,Thomasettia seychellana,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Thomasettia,seychellana,,,,,"Hirst, 1911",
196288,Pleorotus braueri,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Pleorotus,braueri,,,,,"Simon, 1898",
196290,Stipax triangulifer,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Stipax,triangulifer,,,,,"Simon, 1898",
197874,Macrobrachium leptodactylus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,leptodactylus,,,,,"(De Man, 1892a)","Ou and Yeo (1995) consider that <span style=""font-style: italic;"">Macrobrachium leptodactylus</span> is a synonym of <span style=""font-style: italic;"">M. pilimanus</span>."
199495,Margatteoidea amoena,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,BLATTELLIDAE,Margatteoidea,amoena,,,,,"(Bolivar, 1924)",
199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,wilderi,,,,,Merr.,
201472,Eucarlia alluaudi,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,PACHYBOLIDAE,Eucarlia,alluaudi,,,,,"(Brolemann, 1896)",
201484,Orthomorpha crinita,ANIMALIA,ARTHROPODA,DIPLOPODA,POLYDESMIDA,PARADOXOSOMATIDAE,Orthomorpha,crinita,,,,,"Attems, 1900",
21120,Stypodon signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Stypodon,signifer,,,,,"Garman, 1881",
21250,Syncaris pasadenae,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Syncaris,pasadenae,,,,,"(Kingsley, 1897)",
39158,Flabellidium spinosum,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,Flabellidium,spinosum,,,,,Herzog,
43920,Dryopteris ascensionis,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,DRYOPTERIDACEAE,Dryopteris,ascensionis,,,,,(Hook.) Kuntze,
43923,Oldenlandia adscensionis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Oldenlandia,adscensionis,,,,,(DC.) Cronk,
